n-999999999998,  zeta 
1394, 0.498459
1395, -0.499828
1396, 2.749499
1397, -0.462536
1398, 0.719693
1399, -1.523372
1400, 0.740957
1401, -0.113775
1402, -0.778927
1403, -1.398464
1404, 0.191026
1405, -6.604925
1406, 3.358382
1407, -3.189838
1408, 0.526335
1409, -1.028337
1410, 0.047597
1411, 2.698117
1412, 8.082471
1413, -11.925349
1414, 1.728761
1415, -2.741487
1416, 5.710452
1417, -0.399750
1418, 1.566275
1419, -3.490207
1420, 0.253551
1421, -2.120972
1422, 2.190309
1423, -1.165425
1424, 0.046082
1425, -2.017035
1426, 1.293831
1427, -1.692324
1428, 0.286834
1429, -1.556215
1430, 4.319347
1431, -14.924067
1432, -5.697306
1433, -0.582888
1434, -0.199857
1435, 0.000187
1436, 0.263646
1437, -0.176798
1438, 0.082285
1439, -0.176974
1440, -0.885029
1441, -2.501485
1442, 0.786538
1443, 0.671303
1444, -0.572622
1445, -2.049319
1446, 1.677200
1447, -14.481952
1448, -0.741790
1449, 0.214452
1450, 0.830363
1451, -14.464264
1452, 10.574151
1453, -0.570134
1454, 3.438895
1455, -1.690134
1456, 1.717936
1457, -2.258396
1458, -1.084112
1459, -0.162885
1460, 1.513936
1461, -0.678172
1462, 2.031486
1463, -1.087513
1464, 0.966409
1465, -0.518027
1466, -0.030459
1467, -0.034623
1468, -0.110178
1469, 1.213052
1470, 0.814522
1471, -3.192012
1472, 4.535269
1473, -1.860502
1474, 6.210283
1475, -2.292282
1476, -0.169281
1477, -0.437125
1478, -1.585097
1479, -7.855378
1480, 0.084241
1481, -0.769515
1482, 0.648816
1483, -5.806853
1484, 1.954028
1485, -1.435705
1486, 4.045354
1487, -1.373309
1488, 3.623525
1489, -0.180330
1490, 0.050876
1491, -15.104749
1492, 1.614097
1493, -0.888361
1494, 9.502184
1495, 2.554379
1496, 0.064168
1497, -2.370406
1498, -0.478637
1499, -0.070000
1500, 1.230595
1501, -0.406476
1502, 1.997386
1503, 0.050256
1504, -0.241879
1505, -3.670250
1506, 0.629485
1507, -1.971060
1508, 0.694247
1509, -0.497330
1510, 1.761765
1511, -0.470426
1512, 0.012677
1513, -1.141039
1514, 0.588117
1515, 0.155077
1516, -0.922100
1517, 11.081843
1518, 12.927605
1519, -12.108612
1520, 22.135336
1521, -9.692345
1522, -3.948237
1523, -0.721399
1524, 3.584139
1525, 1.438187
1526, -0.733431
1527, -0.846012
1528, 0.358213
1529, -0.704216
1530, 0.235596
1531, -0.432730
1532, 3.625922
1533, -0.476570
1534, -0.330137
1535, -2.997368
1536, 5.005489
1537, -0.560090
1538, 2.476086
1539, -0.301126
1540, -0.206982
1541, -4.467259
1542, 0.951760
1543, -0.809434
1544, 0.852260
1545, -2.359850
1546, 2.737717
1547, -0.709209
1548, 0.518816
1549, 0.058187
1550, 2.649792
1551, -0.527822
1552, 1.380887
1553, 0.314387
1554, 2.855624
1555, 0.531633
1556, 9.837602
1557, -7.896995
1558, 6.241367
1559, -1.134921
1560, 0.192685
1561, -5.942930
1562, 2.192617
1563, -6.279320
1564, 0.228168
1565, -2.587139
1566, 2.258479
1567, -0.546067
1568, 4.545410
1569, 1.844004
1570, -0.466240
1571, -0.582090
